# "Loading... ","加载中... "
"Quickstart guide","快速入门指南","b"
"Control panel","控制面板","b"
"Dwarf Fortress","矮人要塞","c"
"Histories of Greed and Tenacity","贪婪与韧性的编年史","c"
"Histories of Greed and Toil","贪婪与辛劳的编年史","c"
"Histories of Jealousy and Mettle","嫉妒与勇气的编年史","c"
"Histories of Avarice and Exertion","贪婪与努力的编年史","c"
"Histories of Gluttony and Diligence","暴食与勤奋的编年史","c"
"Histories of Gluttony and Exertion","暴食与努力的编年史","c"
"Histories of Avarice and Dynamism","贪婪与活力的编年史","c"
"Histories of Jealousy and Resourcefulness","嫉妒与智谋的编年史","c"
"Histories of Jealousy and Tenacity","嫉妒与韧性的编年史","c"
# "Virtual keyboard for typing with the mouse.",""
"World name","世界名称"
"Folder","文件夹"
"Folder: ","文件夹: "
"Files","文件","c"
"World: ","世界: "
"FPS: 0 (0)","FPS: {d} ({d})"
"DFHack Quickstart Guide","DFHack 快速入门指南","d"
"Page 0 of 0","页面 {d} of {d}"
"Continue active game","继续当前游戏","c"
"Loading world and continuing active game","加载世界并继续可用游戏"
"Loading world to start new game","加载世界来开始新游戏"
"Start new game in existing world","在现有世界中开始新游戏","c"
"Create new world","创建新的世界","c"
"Object testing arena","目标测试竞技场","c"
"DFHack tools.","DFHack工具."
"Mods","模组","c"
"Settings","设置","c"
"About DF","关于DF","c"
"Quit","退出","c"
"Video","画面设置"
"Game","游戏"
"Audio","音频"
"Keybindings","按键绑定"
"Announcements","公告"
"Gameplay","游戏性"
"Done","完成","c"
"Windowed","窗口化"
"Fullscreen","全屏"
"Resolution:","分辨率:"
"None","无"
"DFHack Control Panel","DFHack 控制面板","c"
"Scale interface to fit grid height/width","缩放界面以适应网格高度/宽度"
"Scale interface to","缩放界面以适应网格高度/宽度"
"Desired grid width for scaling (default = 0)","缩放的目标网格宽度 (默认 = {d})"
"Desired grid widt","缩放的目标网格宽度"
"Desired grid height for scaling (default = 0)","缩放的目标网格高度 (默认 = {d})"
"Desired grid heig","缩放的目标网格高度"
"Interface scaling percentage if not fitting width","如果不适应宽度,界面缩放百分比"
"Interface scaling","界面缩放百分比"
"Range:","范围: "
"0 to 0","{d} 至 {d}"
"Range: 0 to 0","范围: {d} 至 {d}"
"Graphical FPS cap (default 0)","图形FPS上限 (默认 {d})"
"Graphical FPS cap","图形FPS上限"
"Initial window width (if windowed)","初始窗口宽度 (如果窗口化)"
"Initial window wid","初始窗口宽度"
"Initial window height (if windowed)","初始窗口高度 (如果窗口化)"
"Initial window hei","初始窗口高度"
"Window is resizable (takes effect on restart)","窗口可调整大小 (重启后生效)"
"Window is resizabl","窗口可调整大小"
"Maximum interface percentage (not counting minimap/elevation)","最大界面百分比 (不包括小地图/高程)"
"Maximum interface","最大界面百分比"
"ight/width",""
"g (default = 0)",""
"ng (default = 0)",""
"if not fitting width",""
"wed)",""
"owed)",""
"ect on restart)",""
"not counting minimap/elevation)",""
"Yes","是"
"Automatic","自动"
"Detect","自动检测","c"
"No","否"
"Scaling mode","缩放模式"
"Use Classic ASCII glyphs","使用经典ASCII字符"
"Use Classic ASCII","使用经典ASCII字符"
#"In-game DFHack command launcher with integrated help.","游戏内 \a#6b57acDFHack\a 命令启动器,集成帮助功能","s"
"In-game DFHack command launcher with integrated help.","游戏内 \a#6b57acDFHack\a 命令启动器,\n集成帮助功能","s"
#"In-game DFHack command launcher with integrated help.","游戏内 DFHack 命令启动器,\n集成帮助功能","s"
"He was interested having an intellectual discussion with an acquaintance.","他\a#6b57ac想\a与一位相识之人\n开展一场\a#ffffff学术层面的\a探讨.","s"
"Passing a few weeks to get things ready...","矮人们正忙上几周时间, 把事情准备妥当..."
"DFHack Launcher","DFHack启动器","d"
"Click or select via","点击或通过选择"
"Help","帮助"
"Output","输出"
"Clear output","清除输出","b"
"Copy output to clipboard","复制输出到剪贴板","b"
"Showing: Matching tools","显示: 匹配工具"
"Welcome to DFHack!","欢迎使用DFHack!"
"Automation","自动化"
"Bug Fixes","漏洞修复"
"UI Overlays","界面覆盖层"
"Preferences","偏好"
"Enabled","已启用"
"Autostart","自动启动"
"These change or extend gameplay. Read their help docs to see what they do and enable the ones that appeal to you.","这些工具会改变或扩展游戏玩法. 请阅读它们的帮助文档,\n了解具体功能, 并启用你感兴趣的部分.","s"
"These are the tools that can be enabled right now. Most tools can only be enabled when you have a fort loaded. Once enabled, tools will stay enabled when you save and reload your fort. If you want them to be auto-enabled for new forts, please see the "Autostart" tab.","这些是当前可启用的工具.\n大多数工具只有在加载了要塞后才能启用.\n一旦启用, 当你保存并重新加载要塞时, 这些工具会保持启用状态.\n如果你希望它们在新建要塞时自动启用, 请参阅"自动启动"标签页.","s"
"These run in the background and help you manage your fort. They are always safe to enable, and allow you to concentrate on other aspects of gameplay that you find more enjoyable.","这些工具在后台运行并帮助您管理要塞.\n启用它们总是安全的, 并且可以让您专注于游戏中您觉得更有趣的其他方面.","s"
"Please load a fort to see the fort-mode tools. Alternately, please switch to the "Autostart" tab to configure which tools should be run or enabled on embark.","请加载要塞以查看要塞模式工具.\n或者,请切换到"自动启动"选项卡, 配置在开始游戏时应运行或启用哪些工具.","s"
"These automatically fix dangerous or annoying vanilla bugs. You should generally have all of these enabled.","这些工具会自动修复危险或烦人的原版错误.\n通常应该启用所有这些功能.","s"
"eggs-fertile (global)","可受精蛋(全局)","b"
"fast-heat (global)","快速加热(全局)","b"
"hide-tutorials (global)","隐藏教程(全局)","b"
"partial-items (global)","部分物品(全局)","b"
"realistic-melting (global)","逼真熔化(全局)","b"
"adamantine-cloth-wear (global)","金刚砂布质服装(全局)","b"
"flask-contents (global)","烧瓶内容物(全局)","b"
"named-codices (global)","命名古抄本(全局)","b"
"reaction-gloves (global)","反应手套(全局)","b"
"Displays an indicator on fertile eggs.","在受精蛋上显示一个标识."
"Prevents adamantine clothing from wearing out while being worn.","防止金刚砂服装在穿着时磨损."
"These are DFHack overlays that add information and functionality to native DF screens. You can toggle whether they are enabled here, or you can reposition them with gui/overlay.","这些是 DFHack 覆盖层, 为原生 DF 界面添加信息和功能.\n您可以在此切换是否启用它们, 或使用 gui/overlay 重新定位它们.","s"
"Overlay for burrow list","聚居地列表覆盖层"
"These are the customizable DFHack system settings.","这些是可自定义的 DFHack 系统设置."
"DFHack searches full text","DFHack 全文搜索","b"
"Hide console on startup (MS Windows only)","启动时隐藏控制台(仅适用于 MS Windows)","b"
"DFHack tools autopause game","DFHack 工具自动暂停游戏","b"
"Large number formatting","大数字格式化","b"
"Intercept handled hotkeys","拦截已处理的热键","b"
"Mouse double click speed (ms)","鼠标双击速度(毫秒)","b"
"Mouse scroll repeat delay (ms)","鼠标滚动重复延迟(毫秒)","b"
"Mouse initial scroll repeat delay (ms)","鼠标初始滚动重复延迟（毫秒）","b"
"Toggle/edit setting","切换/编辑设置","b"
"Don't show tools that give you god-like powers wherever DFHack tools are listed.","在任何列出 DFHack 工具的地方,\n不显示赋予你神一般能力的工具.","s"
"Tools that are enabled on this page will be auto-run or auto-enabled for you when you start a new fort (or, for "global" tools, when you start the game). To see tools that are enabled right now, please click on the "Enabled" tab.","在此页面启用的工具将在你开始新要塞时自动运行或\n自动启用(或者, 对于"全局"工具, 在你开始游戏时).\n要查看当前启用的工具, 请点击"已启用"选项卡.","s"
"Make agitated wildlife and cavern invasions less persistent.","减少激动的野生动物和洞穴入侵的持久性."
"Type a command or click on it in the autocomplete panel to see its help text here. Hit Enter or click on the "run" button to run the command as typed. You can also run a command without parameters by double clicking on it in the autocomplete list.","在自动完成面板中输入命令或点击查看帮助文本.\n按回车或点击"运行"按钮来执行命令.\n您也可以双击自动完成列表中的命令来运行不带参数的命令.\n ","s"
"You can filter the autocomplete list by clicking on the "Tags" button. Tap backtick (`) or hit ESC to close this dialog. This dialog also closes automatically if you run a command that shows a new GUI screen.","您可以通过点击"Tags"按钮来过滤自动完成列表.按反引号(`)或ESC键来关闭此对话框.\n如果您运行显示新GUI屏幕的命令,此对话框也会自动关闭.\n ","s"
"Not sure what to do? You can browse and configure DFHack most important tools in "gui/control-panel". Please also run "quickstart-guide" to get oriented with DFHack and its capabilities.","不确定该如何操作? 你可以在"控制面板"中浏览并配置DFHack的核心工具.\n建议同时运行"快速入门指南",以熟悉DFHack的功能与使用方法.\n ","s"
"To see more detailed help for this command launcher (including info on keyboard and mouse controls), type "gui/launcher".","要查看此命令启动器的更详细帮助(包括键盘和鼠标控制信息),\n请输入"gui/launcher".","s"
"DFHack and its capabilities.","DFHack及其功能."
"Command finished successfully","命令成功完成"
"An abridged chronicle (0 events total):","简略编年史(共 {d} 个事件):"
"Historical figures: 0","历史人物: {d}"
"Forming lakes and minerals... (0)","形成湖泊和矿物... ({d})"
"The Age of Myth, year 0","神话时代, 第{d}年"
"Finalizing sites... (0/0)","确定地点... ({d}/{d})"
"Finalizing uniforms... (0/0)","制服制服... ({d}/{d})"
"Finalizing art... (0/0)","完成艺术...({d}/{d})"
"Offloading units...","卸载单位"
"Offloading units... 0/0","卸载单位... {d}/{d}"
"Allocating space...","分配空间..."
"Saving world","保存世界"
"Initializing...","初始化中..."
"Saving history...","保存历史..."
"Saving agreements...","保存协议..."
"Saving civilized populations...","保存文明人口..."
"Offloading art images...","卸载艺术图像..."
"Opening file...","正在打开文件..."
"Characterizing raw data...","分析原始数据..."
"Sorting world information...","整理世界信息..."
"Saving coin information...","保存货币信息..."
"Saving parameters...","保存参数..."
"Saving tracking info...","保存追踪信息..."
"Saving items...","保存物品......"
"Saving units...","保存单位......"
"Saving jobs...","保存工作......"
"Saving schedules...","保存时间表......"
"Saving projectiles...","保存投射物......"
"Saving buildings...","保存建筑......"
"Saving machines...","保存机器......"
"Saving flow guides...","保存流体指引......"
"Saving effects...","保存效果......"
"Saving entities...","保存实体......"
"Saving local animal populations...","保存当地动物种群......"
"Saving events...","保存活动......"
"Saving mandates...","保存任务......"
"Saving work quotas...","保存工作配额......"
"Saving world events...","保存世界事件......"
"Saving squads...","保存小队......"
"Saving formations...","保存编队......"
"Saving activities...","保存活动......"
"Saving interactions...","保存互动......"
"Saving written content...","保存书写内容......"
"Saving identities...","保存身份......"
"Saving incidents...","保存事故......"
"Saving crimes...","保存罪行......"
"Saving vehicles...","保存载具......"
"Saving armies...","保存军队......"
"Saving army controllers...","保存军队控制......"
"Saving tracking information...","保存跟踪信息......"
"Saving cultural identities...","保存文化身份......"
"Saving agreement...","保存协议......"
"Saving art forms...","保存艺术表格......"
"Saving occupations...","保存职业......"
"Saving belief systems...","保存信仰体系......"
"Saving image sets...","保存图像集"
"Saving divination sets...","保存预言集"
"Saving announcements...","保存公告......"
"Saving fortress information...","保存堡垒信息......"
"Saving world information...","保存世界信息......"
"Saving artifacts...","保存文物......"
"Saving active historical figures...","保存活跃的历史人物......"
"Saving adventure data...","保存冒险数据......"
"Saving general information...","保存一般信息......"
"Closing file...","关闭文件中..."
"Medium","中等"
"World map size","世界地图大小"
"Number of beasts","野兽数量"
"Maximum number of sites","最大地点数量"
"Pocket","小型"
"Smaller","更小"
"Small","小"
"Large","大"
"History length","历史长度"
"Very rare","非常稀有"
"Number of civilizations","文明数量"
"Very low","非常低"
"Low","低"
"Rare","稀有"
"High","高"
"Very high","非常高"
"Natural savagery","自然野蛮度"
"Mineral occurrence","矿物分布"
"Sparse","稀少"
"Frequent","频繁"
"Everywhere","随处可见"
"Create world","创建世界","c"
"Detailed mode","详细模式","c"
"Back to main menu","返回主菜单","c"
"Welcome to Dwarf Fortress","欢迎来到矮人要塞","c"
"Placing civilizations... (0)","放置文明...({d})"
"0 years","{d} 年"
"Choose or create a parameter set to make a custom world.","选择或创建参数集来创建自定义的世界."
"New parameter set","新参数集","c"
"Save","保存","c"
"Load","载入","c"
"Width","宽度","c"
"Height","高度","c"
"Random seed","随机种子"
"Copy","复制","c"
"Delete","删除","c"
"Basic options","基本选项","c"
"Use Seed","使用种子"
"Random","随机"
"Seed","种子"
"Seed text","种子文本"
"Use History Seed","使用历史种子"
"Use Name Seed","使用名称种子"
"Use Creature Seed","使用生物种子"
"Custom world name","自定义世界名称"
"Embark Points","登船点"
"End Year","终止年"
"Population Cap After Civ Creation","文明创建后的人口上限"
"Site Cap After Civ Creation","文明创建后的居住地上限"
"Percentage Beasts Dead For Stoppage","百分比野兽死于停电"
"Year to Begin Checking Megabeast Percentage","开始检查巨兽比例的年份"
"Cull Unimportant Historical Figures","剔除不重要的历史人物"
"Reveal All Historical Events","揭示所有历史事件"
"Minimum Elevation","最低海拔"
"Erosion Cycle Count","侵蚀周期计数"
"Minimum River Start Locations (Pre-Erosion)","最小河流起点位置(侵蚀前)"
"Desired River Start Locations (Post-Erosion)","所需的河流起点位置(侵蚀后)"
"Periodically Erode Extreme Cliffs","定期侵蚀极端悬崖"
"Do Orographic Precipitation and Rain Shadows","做地形降水和雨影"
"Maximum Number of Subregions","最大子区域数"
"Cavern Layer Number","洞穴层数"
"Cavern Layer Openness Min","洞穴层开放度最低"
"Cavern Layer Openness Max","洞穴层开放度最大值"
"Cavern Layer Passage Density Min","洞穴层通道密度最小值"
"Cavern Layer Passage Density Max","洞穴层通道密度最大值"
"Cavern Layer Water Min","洞穴层水最小"
"Cavern Layer Water Max","洞穴层水最大"
"Magma Layer","岩浆层"
"Bottom Layer (Forces Magma)","底层(强迫岩浆)"
"Z Levels Above Ground","Z水平高于地面"
"Z Levels Above Layer 0","Z层高于第{d}层"
"Z Levels At Bottom","Z水平在底部"
"Minimum Natural Cave Size","最小天然洞穴大小"
"Maximum Natural Cave Size","最大天然洞穴大小"
"Number of Mountain Caves","山洞数量"
"Number of Non-Mountain Caves","非山洞的数量"
"Number of Mythical Sites","神话地点数量"
"Make Caves Visible","让洞穴可见"
"Allow Init Embark Options to Show Tunnels","允许初始登船选项显示隧道"
"Only in Finder","只在搜索器中"
"Number of Civilizations","文明数量"
"Playable Civilization Required","需要可玩的文明"
"Minimum Number of Mid-Elevation Squares","中高程广场的最小数量"
"Minimum Number of Low-Elevation Squares","最低低仰角数"
"Minimum Number of High-Elevation Squares","最小高海拔广场数量"
"Minimum Number of Mid-Rain Squares","中雨广场的最小数量"
"Minimum Number of Low-Rain Squares","最小数量的低雨广场"
"Minimum Number of High-Rain Squares","最低数量的高雨广场"
"Minimum Number of Mid-Drainage Squares","最小中间排水广场数量"
"Minimum Number of Low-Drainage Squares","最小数量的低排水广场"
"Minimum Number of High-Drainage Squares","最小数量的高排水广场"
"Minimum Number of Mid-Savagery Squares","最小中游广场数量"
"Minimum Number of Low-Savagery Squares","最低数量的低野蛮广场"
"Minimum Number of High-Savagery Squares","最低数量的高级野蛮广场"
"Minimum Number of Mid-Volcanism Squares","中火山广场的最小数量"
"Minimum Number of Low-Volcanism Squares","最低数量的低火山正方形"
"Minimum Number of High-Volcanism Squares","最低数量的高火山广场"
"LARGE ISLAND","巨大的岛屿"
"LARGE REGION","巨大的地区"
"MEDIUM ISLAND","中等岛屿"
"MEDIUM REGION","中等地区"
"SMALL ISLAND","小岛屿"
"SMALL REGION","小地区"
"SMALLER ISLAND","非常小的岛屿"
"SMALLER REGION","较小的地区"
"POCKET ISLAND","口袋岛"
"POCKET REGION","口袋地区"
"Always","总是"
"Diplomat","外交官"
"Don't repeat","不要重复"
"Enable temperature","启用温度"
"Semiannual","半年度"
"Default normal traffic path cost","默认正常交通路径成本"
"Enable artifact moods","启用神器情绪"
"Toggle Fullscreen","切换全屏"
"Prepare carefully embark confirmation","仔细准备启程确认"
"Display worn clothing dyes (fort mode)","显示穿着服装染料(要塞模式)"
"If points remain","如果点数剩余"
"Master Volume: 0%","主音量:{d}%"
"Music Volume (Fortress): 0%","音乐音量(要塞):{d}%"
"Show numeric liquid levels","显示数字液体等级"
"Ambience Volume (Fortress): 0%","环境音量(要塞):{d}%"
"Engravings start obscured","雕刻开始模糊"
"Sound Effects Volume (Fortress): 0%","音效音量(要塞):{d}%"
"Average Seconds Between Tracks/Interludes (Fortress): 0","曲目/插曲间隔平均秒数(要塞):{d}"
"Secondary Select","次要选择"
"Nickname position (fort mode)","昵称位置(要塞模式)"
"Music Volume (Adventure): 0%","音乐音量(冒险):{d}%"
"Ambience Volume (Adventure): 0%","环境音量(冒险):{d}%"
"Storage path decrease (bin combine)","存储路径减少(箱子合并)"
"Autosave the game after embark","启程后自动保存游戏"
"Drop item","丢弃物品"
"Sound Effects Volume (Adventure): 0%","音效音量(冒险):{d}%"
"Toggle overlay","切换悬浮层显示","b"
"Show overlay help","显示帮助悬浮层","b"
"Restore defaults","恢复默认设置","b"
"Change tab or highlight selection","更改选项卡或高亮选择"
"Storage path decrease (barrel combine)","存储路径减少(桶合并)"
"Default embark height","默认启程高度"
"Portable mode","便携模式"
"Display worn clothing dyes (adv mode)","显示穿着服装染料(冒险模式)"
"Game frames-per-second cap (default 0)","游戏每秒帧数上限(默认{d})"
"Autosave frequency","自动保存频率"
"Pause after every autosave","每次自动保存后暂停"
"Enable testing arena (on next title)","启用测试竞技场(下次标题时)"
"Pause after loading","加载后暂停"
"Horizontal keyboard scroll tiles (world)","水平键盘滚动格子(世界)"
"Default low traffic path cost","默认低交通路径成本"
"Confirmation window for all embarks","所有启程确认窗口"
"Show tunnels on world map","在世界地图上显示隧道"
"Hotkey: Building, Vertical Bars","热键:建筑,竖栏"
"Show up/down arrows on ramps at current elevation","在当前高度显示斜坡上下箭头"
"Show improvement quality in item names","在物品名称中显示改进品质"
"In site finder","在地点查找器中"
"Enable weather","启用天气"
"Select","选择"
"Number of lower elevation layers to show","要显示的较低海拔层数"
"Enable caveins","启用塌方"
"Show rectangle dimensions","显示矩形尺寸"
"Walking spreads spatter (fort mode)","行走传播飞溅(要塞模式)"
"Walking spreads spatter (adv mode)","行走传播飞溅(冒险模式)"
"Keyboard cursor enabled","启用键盘光标"
"Nickname position (adv mode)","昵称位置(冒险模式)"
"Log world generation map rejects","记录世界生成地图拒绝"
"Enable multithreading","启用多线程"
"Default embark width","默认启程宽度"
"Default high traffic path cost","默认高交通路径成本"
"Default restricted traffic path cost","默认限制交通路径成本"
"Storage path decrease (# of contained item cap)","存储路径减少(包含项上限)"
"Baby+child cap","婴幼儿童的上限"
"Baby+child cap (percentage of total)","婴幼儿童的上限(占总人数的比例)"
"Compressed saves (recommended!)","压缩保存(推荐!)"
"Hotkey: Building, Bed","热键:建筑,床"
"Storage path decrease (seed bag combine)","存储路径减少(种子袋合并)"
"Cull dead units at","清除死亡单位于"
"Key hold milliseconds before repeat","按键保持毫秒数前重复"
"Storage path decrease (bucket combine)","存储路径减少(桶合并)"
"Population cap","人口上限"
"Strict population cap (includes births)","严格人口上限(包括出生)"
"Hotkey: Building, Kennel","热键:建筑,犬舍"
"Delayed repeat","延迟重复"
"Visitor cap","访客上限"
"Seed cap (per species)","种子上限(每物种)"
"Total seed cap","总种子上限"
"Show all historical events in engravings etc.","在雕刻等中显示所有历史事件"
"Replace first","替换第一个"
"Nickname position (legends mode)","昵称位置(传奇模式)"
"Grazing coefficient (higher = less grass)","放牧系数(越高=草越少)"
"Show frames-per-second","显示每秒帧数"
"Milliseconds for each key repeat","每次按键重复毫秒数"
"Combat","战斗"
"Number of key repeats before accelerating","加速前按键重复次数"
"Maximum key repeat acceleration multiplier","最大按键重复加速倍数"
"Milliseconds interface shutdown after recenter","重新定位后接口关闭毫秒数"
"Disabled","已禁用"
"Milliseconds between macro instructions","宏指令间隔毫秒数"
"Decrease FPS limit","降低FPS限制"
"Maximum embark dimension","最大启程尺寸"
"Classic varied ground tiles","经典多样地面图块"
"Horizontal keyboard scroll tiles","水平键盘滚动图块"
"Horizontal keyboard scroll tiles (fast)","水平键盘滚动图块(快速)"
